,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,max_cite,pub_div,recent_3,academic_age,h_index,labels,Country
144,493,18413,71,313,44,0,0.0,799.0,103,50,23,84,1,1.0
145,192,19055,0,263,30,0,0.0,9026.0,86,1,25,64,0,16.0
146,207,7275,67,179,27,0,0.0,2109.0,60,59,19,39,1,8.0
147,762,13765,8,653,84,0,0.0,418.0,158,217,22,78,2,14.0
148,410,29864,12,320,16,4,0.0,4088.0,116,28,52,124,0,24.0
149,457,11184,34,445,50,0,0.0,1232.0,146,117,28,67,1,23.0
150,117,13224,0,58,11,0,0.0,5020.0,67,14,29,44,3,15.0
151,497,10378,3,391,64,0,0.0,490.0,146,72,26,64,1,10.0
152,260,6396,41,193,24,0,0.0,639.0,102,69,19,40,1,3.0
153,781,12667,10,952,100,0,0.0,347.0,224,390,28,77,2,15.0
154,496,17374,111,364,30,0,0.0,4374.0,107,70,22,66,1,19.0
155,1516,26290,63,1368,100,0,0.0,1070.0,429,182,40,86,2,2.0
156,503,23992,0,343,41,0,0.0,1740.0,88,0,30,87,1,24.0
157,228,9824,0,211,24,0,0.0,603.0,76,61,14,72,1,2.0
158,129,3358,6,233,22,0,0.0,681.0,62,57,17,24,1,2.0
159,189,3756,1,283,44,0,0.0,235.0,80,43,11,45,1,2.0
160,867,28080,9,985,100,0,0.0,1011.0,165,133,20,103,2,2.0
161,499,8250,52,534,68,0,0.0,723.0,186,126,26,48,1,2.0
162,256,6822,0,75,9,0,0.0,505.0,74,62,15,65,1,2.0
163,580,17277,1,406,57,0,0.0,2489.0,119,35,29,80,1,2.0
164,301,5107,0,224,33,0,0.0,467.0,85,146,9,56,1,2.0
165,620,8378,0,301,15,0,0.0,662.0,168,64,30,72,1,2.0
166,374,4935,3,233,17,0,0.0,379.0,100,106,16,58,1,2.0
167,202,6377,1,154,12,0,0.0,562.0,73,60,16,57,1,2.0
168,223,9161,0,225,31,0,0.0,1540.0,56,35,22,61,1,2.0
169,294,14067,5,181,44,14,0.0,1213.0,102,34,25,66,3,24.0
170,339,8097,0,239,28,0,0.0,2130.0,99,81,24,54,1,18.0
171,150,16412,19,153,6,0,0.0,4525.0,50,14,43,44,0,6.0
172,387,4816,1,297,46,0,0.0,381.0,154,78,15,56,1,0.0
173,327,19206,12,493,42,0,0.0,6722.0,110,214,12,65,1,0.0
174,657,23467,72,675,34,16,0.0,1697.0,191,74,30,85,2,24.0
175,311,8054,53,343,37,0,0.0,639.0,81,113,15,56,1,0.0
176,267,5404,5,230,37,0,0.0,566.0,80,84,14,67,1,21.0
177,778,22940,197,716,92,0,0.0,1741.0,163,278,21,86,2,16.0
178,262,5604,3,315,74,0,0.0,784.0,113,62,15,45,1,10.0
179,694,14111,0,328,54,0,0.0,380.0,118,40,26,86,1,17.0
180,485,7610,17,417,34,0,0.0,979.0,144,54,19,44,1,2.0
181,2096,51308,328,1393,100,13,0.0,1697.0,386,408,30,125,2,24.0
182,593,10288,91,551,82,0,0.0,827.0,144,174,23,54,2,16.0
183,677,14683,94,655,100,0,0.0,1023.0,194,168,19,100,2,15.0
184,363,15052,33,555,67,7,0.0,1213.0,133,75,19,70,1,2.0
185,895,19960,184,503,47,0,0.0,2094.0,160,106,24,80,2,7.0
186,55,2987,4,85,0,0,0.0,872.0,21,8,17,26,3,24.0
187,637,15757,181,1118,85,0,0.0,1110.0,138,216,32,71,2,22.0
188,280,4785,0,353,73,0,0.0,448.0,111,57,13,40,1,2.0
189,1461,33555,49,897,100,0,0.0,741.0,257,144,33,106,2,1.0
190,1417,31784,2,840,100,0,0.0,825.0,202,237,32,138,2,0.0
191,865,12124,1,504,79,0,0.0,748.0,221,102,29,66,2,2.0
192,460,23431,15,368,36,0,0.0,3590.0,160,54,29,88,1,16.0
193,389,7371,3,447,50,0,0.0,966.0,165,39,21,49,1,2.0
194,870,33928,0,1313,100,0,0.0,1307.0,184,36,20,120,2,0.0
195,481,12142,0,201,15,0,0.0,562.0,106,38,32,97,1,2.0
196,801,29258,17,1571,100,0,0.0,1070.0,295,47,34,108,2,0.0
197,189,9060,4,260,55,0,0.0,797.0,92,27,15,53,1,2.0
198,433,9364,42,557,62,0,0.0,1625.0,125,86,24,54,1,2.0
199,328,5308,0,158,26,0,0.0,268.0,82,71,23,64,1,2.0
200,145,1685,0,96,19,1,0.0,370.0,81,16,25,16,1,2.0
201,824,21800,0,347,65,0,0.0,1540.0,175,71,28,125,1,23.0
202,269,3437,0,171,13,0,0.0,407.0,77,55,17,48,1,2.0
203,417,11194,2,231,45,0,0.0,585.0,107,68,17,76,1,2.0
204,268,7271,1,169,24,0,0.0,509.0,63,59,16,64,1,2.0
205,63,3505,0,25,8,0,0.0,1217.0,36,8,13,31,3,2.0
206,166,2929,2,237,31,0,0.0,282.0,79,62,18,35,1,2.0
207,889,15656,3,395,47,0,0.0,1912.0,123,289,23,117,2,2.0
208,930,12627,0,1574,100,0,0.0,638.0,298,7,26,68,2,1.0
209,364,21420,16,607,36,0,0.0,4974.0,171,20,30,73,0,23.0
210,314,13128,3,409,46,0,0.0,1067.0,78,70,17,79,1,0.0
211,364,8452,0,247,12,0,0.0,856.0,112,1,35,68,1,1.0
212,735,14871,3,642,77,0,0.0,531.0,173,161,22,75,2,1.0
213,124,6149,59,99,11,0,0.0,1951.0,51,37,12,42,1,2.0
214,362,6283,0,233,46,0,0.0,411.0,104,47,20,62,1,2.0
215,297,5667,18,432,64,0,0.0,633.0,93,90,13,40,1,2.0
216,119,3501,0,83,20,0,0.0,268.0,54,20,15,50,1,2.0
217,1151,15227,3,545,66,0,0.0,662.0,210,242,34,78,2,2.0
218,290,11627,25,332,23,0,0.0,5075.0,105,59,27,55,1,8.0
219,502,22359,163,269,29,0,0.0,2029.0,91,105,29,107,1,16.0
220,153,446,1,93,26,0,0.0,145.0,29,56,11,14,1,2.0
221,355,5968,9,574,56,0,0.0,481.0,135,132,15,63,1,2.0
222,388,2236,1,244,13,0,0.0,284.0,97,7,27,24,1,2.0
223,189,3577,0,166,16,0,0.0,385.0,52,7,22,38,1,2.0
224,180,1545,3,147,17,0,0.0,125.0,98,16,24,25,1,2.0
225,279,4128,15,303,34,0,0.0,328.0,54,67,17,48,1,2.0
226,286,5302,39,351,20,0,0.0,1293.0,101,30,23,36,1,2.0
227,403,9681,72,725,53,0,0.0,1293.0,139,53,24,56,1,2.0
228,151,7537,10,156,12,0,0.0,1362.0,72,18,25,39,1,2.0
229,175,1608,1,263,19,0,0.0,109.0,88,6,19,24,1,2.0
230,377,9397,48,481,53,0,0.0,1446.0,125,54,32,54,1,2.0
231,185,5036,53,304,37,0,0.0,1446.0,72,50,16,38,1,2.0
232,292,7709,121,344,0,0,0.0,1352.0,123,69,25,48,1,2.0
233,215,4835,135,250,46,0,0.0,639.0,89,44,17,41,1,2.0
234,193,6943,135,292,27,0,0.0,1352.0,93,75,14,45,1,2.0
235,747,4444,4,594,65,0,0.0,104.0,266,39,27,34,1,2.0
236,84,5379,47,82,10,0,0.0,1735.0,34,25,12,37,1,2.0
