First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations
Quan,Zou,23391564900,355,5968,9,574,56,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",
Yici,Cai,7401750332,388,2236,1,244,13,0,Computer Science,"Tsinghua University, China Mainland",
Jianhua,Feng,7403884576,189,3577,0,166,16,0,Computer Science,"Tsinghua University, China Mainland",
Ling,Feng,57209023943,180,1545,3,147,17,0,Computer Science,"Tsinghua University, China Mainland",
Guoliang,Li,55800543300,279,4128,15,303,34,0,Computer Science,"Tsinghua University, China Mainland",
Juanzi,Li,8304332600,286,5302,39,351,20,0,Computer Science,"Tsinghua University, China Mainland",
Jie,Tang,26667745200,403,9681,72,725,53,0,Computer Science,"Tsinghua University, China Mainland",
Jianyong,Wang,57208873256,151,7537,10,156,12,0,Computer Science,"Tsinghua University, China Mainland",
Yongwei,Wu,8417507400,175,1608,1,263,19,0,Computer Science,"Tsinghua University, China Mainland",
Wenwu,Zhu,7404232311,377,9397,48,481,53,0,Computer Science,"Tsinghua University, China Mainland",
Peng,Cui,34568700100,185,5036,53,304,37,0,Computer Science,"Tsinghua University, China Mainland",
Maosong,Sun,7403180987,292,7709,121,344,0,0,Computer Science,"Tsinghua University, China Mainland",
Jun,Zhu,56734692500,215,4835,135,250,46,0,Computer Science,"Tsinghua University, China Mainland",
Zhiyuan,Liu,57191691341,193,6943,135,292,27,0,Computer Science,"Tsinghua University, China Mainland",
Jianping,Wu,7409251457,747,4444,4,594,65,0,Computer Science,"Tsinghua University, China Mainland",
Mingsheng,Long,36986782000,84,5379,47,82,10,0,Computer Science,"Tsinghua University, China Mainland",
